relative_day,up_rate,up_cat,1_day_sentiment_score,1_day_news_count,past_7_days_senti_avg,past_3_days_senti_avg,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
-36,0.0,0,0.09883101095672356,1578,0.05482315571892896,0.03151660102790257,155.95533528970978,171.25,171.95,167.34,171.63,44998500,0,1,0,0,0,0,0
-35,-0.002214065140126991,0,0.11915259204955586,1639,0.054233302537130594,0.03294367031890785,195.29109836922206,168.57,171.78,167.95,171.25,41387400,0,1,0,0,0,0,0
-34,0.038481751824817535,1,0.14040531172136023,1779,0.05779969320874167,0.07266120100209314,249.78104955229986,173.7,178.18,171.93,177.84,46062500,0,1,0,0,0,0,0
-33,-0.00770355375618536,0,0.1344878439349384,2332,0.06470553111590677,0.11946297157587989,313.62565205627635,179.53,179.67,174.66,176.47,41770000,0,1,0,0,0,0,0
-32,-0.005383351277837529,0,0.09258538979273384,1811,0.08391808024946938,0.13134858256861817,167.67214091464098,177.2,177.24,174.0,175.52,39531500,0,1,0,0,0,0,0
-29,0.0,0,0.09661814747752244,1664,0.08363744977933027,0.030861796597577946,160.77259740259734,181.3,181.77,178.1,181.65,40802500,0,1,0,0,0,0,0
-28,-0.04398568676025328,-1,0.12679821154211748,1723,0.08332132642515869,0.03220604915917415,218.47331848706844,177.85,179.26,173.25,173.66,41344300,0,1,0,0,0,0,0
-26,0.0,0,0.10030411839746858,1955,0.06435565610675888,0.07447211967321331,196.09455146705108,168.82,171.79,167.5,171.73,43098400,0,1,0,0,0,0,0
-25,-0.03569556862516739,-1,0.08520843578327128,1520,0.059472266744263196,0.07570077664652869,129.51682239057234,170.52,171.5,165.42,165.6,42281600,0,1,0,0,0,0,0
-8,0.0,0,0.14070228977990304,641,0.0,0.0,90.19016774891784,145.61,148.95,144.08,144.31,37169200,0,1,0,0,0,0,0
-6,0.0,0,0.058517929944887706,1494,0.02010032711141472,0.04690076325996768,87.42578733766223,145.76,154.54,144.21,154.48,58582500,0,1,0,0,0,0,0
-5,-0.006538063179699579,0,0.05746968295887137,1873,0.028460031389255822,0.06640673990826358,107.64071618196608,153.17,154.08,147.5,153.47,53117100,0,1,0,0,0,0,0
-4,0.0005212745161921711,0,0.07201337080723048,1482,0.036669986097666016,0.03866253763458636,106.72381553631557,154.8,155.8,151.9,153.55,42291400,0,1,0,0,0,0,0
-1,0.0,0,0.09404297807722453,1095,0.04695761049869894,0.024004456935743494,102.97706099456086,155.81,156.63,153.8,155.04,35003500,0,1,0,0,0,0,0
13,0.0,0,0.15690104166666663,64,0.019822532226468563,0.0,10.041666666666664,148.27,148.68,146.66,147.43,32439200,0,1,0,0,0,0,0
15,0.012229976736457319,1,0.08303398867632683,1514,0.053666930442612,0.07897026250433468,125.71345885595882,150.46,153.21,150.38,152.29,30569700,0,1,0,0,0,0,0
16,0.005909777398384698,0,0.07993860661909324,1613,0.05729642665953765,0.10664825872977696,128.9409724765974,151.56,154.96,150.63,153.19,29821200,0,1,0,0,0,0,0
17,0.006136170768326899,0,0.07566905129059404,1472,0.057126197544060585,0.08099411371391917,111.38484349975442,154.8,155.17,153.31,154.13,33751000,0,1,0,0,0,0,0
21,0.0,0,0.12455585803737246,1704,0.045521627490335934,0.0,212.24318209568267,153.73,154.04,150.0,150.67,30394000,0,1,0,0,0,0,0
