relative_day,up_rate,up_cat,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
150,-0.016298675,-1,0.107543359,0.075969931,0.079815863,209,22.47656205,123.06,123.45,122.16,122.52,26646800,0,0,0,0,1,0,0
153,0,0,0.141053507,0.049570135,0.035847786,202,28.49280844,122.69,123.2,117.89,118.71,37983600,0,0,0,0,1,0,0
154,0.027714599,1,0.164123395,0.069720636,0.047017836,239,39.22549129,120.14,122.12,119.52,122,29382600,0,0,0,0,1,0,0
155,0.021721311,1,0.106424609,0.0826587,0.101725634,259,27.56397367,123.77,124.69,123.04,124.65,24926100,0,0,0,0,1,0,0
156,0.015804252,1,0.123807782,0.08674929,0.137200503,234,28.97102092,125.25,126.77,124.42,126.62,21459000,0,0,0,0,1,0,0
157,0.027957669,1,0.092427058,0.091850379,0.131451928,196,18.11570346,127.98,131.01,127.05,130.16,33885600,0,0,0,0,1,0,0
160,0,0,0.118866673,0.089690907,0.030809019,507,60.26540344,131.15,132.82,130.76,131.35,26477100,0,0,0,0,1,0,0
161,-0.003730491,0,0.105237346,0.08652136,0.039622224,189,19.88985841,132.62,132.98,130.05,130.86,23913700,0,0,0,0,1,0,0
162,-0.00466147,0,0.112649926,0.078109067,0.07470134,260,29.28898088,130.16,130.73,129.48,130.25,17084700,0,0,0,0,1,0,0
163,0.006372361,0,0.093557612,0.078998398,0.112251315,210,19.6470986,130.74,131.75,130.32,131.08,17200800,0,0,0,0,1,0,0
164,0.000915471,0,0.15830085,0.074676945,0.103814962,173,27.38604708,131.02,132.53,130.4,131.2,17821700,0,0,0,0,1,0,0
167,0,0,0.092672287,0.084087487,0.05276695,159,14.73489358,131.38,132.47,131.28,131.6,14517800,0,0,0,0,1,0,0
