,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
33,98,apple,0.11501528548647229,0.08124653500932491,0.03888917599570709,1744,200.58665788840767,197.73,200.23,196.66,196.92,35768200
34,99,apple,0.09051441909679028,0.08373195391967643,0.07722760449119785,1689,152.8788538544788,196.11,198.15,195.62,198.03,21695300
35,100,apple,0.06715570292386656,0.08410996868310351,0.10739907752346128,1748,117.38816871091875,198.26,198.4,195.88,196.38,20900800
36,101,apple,0.03299234447834658,0.07336476675328145,0.0908951358357097,6769,223.32517977392797,196.63,197.55,193.67,196.3,27760700
37,104,apple,0.05131281400005902,0.060335039996085284,0.010997448159448859,1960,100.57311544011569,196.01,197.27,195.45,196.66,17536600
38,105,apple,0.06439286515357062,0.05099865228364782,0.017104271333353006,3266,210.30709759156164,196.88,198.77,195.99,196.68,25696400
39,106,apple,0.09446850693499337,0.04376687795037615,0.038568559717876545,2443,230.7865624421888,196.96,200.75,196.04,200.51,28906800
40,107,apple,0.08584529200243306,0.04433174764154802,0.070058062029541,2349,201.65059091371526,200.5,201.51,199.9,201.23,24195800
41,111,apple,0.1066983152254389,0.04228849687015087,0.0,1848,197.1784865366111,200.21,202.29,199.73,201.89,19439500
42,112,apple,0.09419979290883124,0.05020071133091942,0.0355661050751463,1773,167.01623282735778,201.79,205.07,201.27,204.8,23323000
43,113,apple,0.05889228058216513,0.05445884386738522,0.06696603604475672,1992,117.31342291967293,204.68,205.79,204.37,204.48,17540600
44,114,apple,0.08391263561113092,0.04937652581698119,0.08659679623881174,1728,145.00103433603422,204.16,205.08,202.47,202.63,18543200
45,115,apple,0.055414808550949775,0.049100432046795164,0.0790015697007091,2300,127.45405966718448,202.25,202.35,199.51,201.66,18649100
46,118,apple,0.043156773537638624,0.05701683326835943,0.01847160285031659,1705,73.58229888167385,201.76,203.31,201.23,201.97,22204700
47,119,apple,0.07963689196940561,0.04793947017010224,0.014385591179212875,1474,117.38477876290388,200.44,200.77,196.54,198.08,46534900
48,121,apple,0.06459550944774231,0.05233684628669359,0.07567682661492481,1142,73.76807178932172,207.13,209.9,205.44,206.45,31996300
49,122,apple,0.1266879715322518,0.049577256834780925,0.08282307191829269,1473,186.61138206700693,208.17,209.1,207.51,209.01,20892400
50,125,apple,0.07654640738918227,0.05975913726068122,0.042229323844083934,1346,103.03146434583934,201.65,206.14,200.87,205.79,32443100
51,126,apple,0.08770943459930133,0.06452908495375888,0.025515469129727422,1051,92.1826157638657,203.22,204.74,198.24,200.24,38763700
52,127,apple,0.0934064165212294,0.06568230532945826,0.05475194732949453,1043,97.42289243164227,199.29,202.69,199.14,200.28,26339500
53,128,apple,0.08226515654474478,0.06413510564138673,0.08588741950323768,1166,95.92117253117242,197.81,199.07,194.12,198.13,34908600
54,129,apple,0.07262341838606716,0.06665934094095852,0.0877936692217585,1008,73.2044057331557,195.62,197.04,191.01,195.38,41208700
55,132,apple,0.0646378743876295,0.05893583334864642,0.024207806128689054,1531,98.96058568746076,186.0,187.75,181.18,184.03,57430600
56,133,apple,0.07606038278392416,0.0572346143484246,0.02154595812920983,1337,101.69273178210659,184.71,187.97,183.72,186.94,36529700
57,134,apple,0.18567558145279056,0.055570464089084996,0.04689941905718455,1392,258.46040938228447,184.57,190.0,184.32,189.18,26544700
58,135,apple,0.0905294217522246,0.06875177336502232,0.10879127954144807,1411,127.7370140923889,188.18,190.71,187.12,188.35,33031400
59,153,apple,0.08467292084528172,0.044510069985785536,0.021906882864082596,3373,285.60176201113524,174.0,176.3,168.72,171.72,40396100
60,154,apple,0.07876271842477423,0.05660620153511149,0.02822430694842724,2395,188.63671062733425,173.84,178.19,172.93,178.0,30968000
61,155,apple,0.06566097454547275,0.052919004248385075,0.05447854642335198,1803,118.38673710548736,182.6,183.3,179.49,180.88,29773400
62,156,apple,0.08797317447336461,0.05449858822136443,0.07636553793850957,1314,115.5967512580011,181.41,183.78,180.49,183.53,22526300
63,157,apple,0.09569926406792954,0.0546843481258773,0.07746562248120387,4027,385.3809364015523,184.81,190.17,184.08,188.42,30684400
64,64,apple,0.04867950099083874,0.05329078102878437,0.04232671680936378,4141,201.5818136030632,172.41,173.22,171.69,172.27,20810400
