,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
37,16,0.007049053688682927,0,microsoft,0.09829970906960529,0.08927665903489952,0.1708605128565234,289,28.408615921115928,103.19,104.79,102.95,104.29,28393000
38,17,0.014958289385367609,1,microsoft,0.09081207092570728,0.08726874966273936,0.10584930476861405,264,23.974386724386722,105.61,106.04,104.08,105.85,37427600
39,21,0.0,0,microsoft,0.125127917615031,0.058337140747364215,0.0,194,24.274816017316013,104.91,105.25,103.05,103.86,32371300
40,22,0.009724629308684818,0,microsoft,0.020528114305092732,0.06135456880393493,0.041709305871677003,417,8.560223665223669,104.29,105.19,103.52,104.87,25874300
41,23,-0.004767807761991036,0,microsoft,0.07006601230559567,0.04782397313077662,0.04855201064004125,432,30.26851731601733,105.02,105.15,103.52,104.37,23164800
42,24,0.009102232442272574,0,microsoft,0.11134579098437794,0.043790587878775246,0.0719073480752398,230,25.609531926406927,105.39,106.02,104.37,105.32,31225600
43,27,0.0,0,microsoft,0.10919198195983906,0.04672397645858534,0.03711526366145931,182,19.87294071669071,104.43,104.64,102.85,103.27,29476700
44,28,-0.020431877602401467,-1,microsoft,0.10404180541680542,0.062322831024276625,0.036397327319946354,130,13.525434704184706,103.07,103.16,100.41,101.16,31490500
45,29,0.03341241597469365,1,microsoft,0.08337648323550581,0.05931052928167298,0.07107792912554817,266,22.178144540644546,102.81,104.54,102.53,104.54,49471900
46,30,-0.018270518461832894,-1,microsoft,0.09184834455667792,0.06828886770030342,0.09887009020405009,108,9.919621212121216,102.01,103.4,101.4,102.63,55636400
47,31,-0.01578485822858804,-1,microsoft,0.14042784992784993,0.07140062945045801,0.09308887773632972,40,5.617113997113997,101.99,102.3,100.58,101.01,35535700
48,34,0.0,0,microsoft,0.17970870396497104,0.07555520929952544,0.04680928330928331,359,64.5154247234246,101.09,103.97,101.0,103.92,31315100
49,35,0.013953040800615886,1,microsoft,0.09357016061149132,0.08562902672883002,0.059902901321657015,248,23.205399831649846,104.23,105.42,104.13,105.37,27325400
50,36,-0.01110372971433996,-1,microsoft,0.09564257690330648,0.084133077470928,0.09109295485882078,233,22.28472041847041,105.15,105.15,103.71,104.2,20609800
51,37,-0.007197696737044145,0,microsoft,0.0335711833244728,0.0858853765663281,0.1229738138265896,228,7.654229797979798,103.37,103.77,102.49,103.45,29760700
