,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
37,93,-0.001010600318558876,0,amazon,0.17298393669262319,0.13267727484418995,0.15026546861500234,1180,204.12104529729535,1820.65,1828.75,1804.2,1818.86,3623900
38,94,0.010127222545990387,1,amazon,0.40796977310797117,0.12006659277993152,0.14201534768916527,2189,893.0458333333489,1829.0,1838.58,1825.19,1837.28,3640500
39,97,0.0,0,amazon,0.1908127066550079,0.14739287366365733,0.13598992436932372,604,115.25087481962477,1833.23,1850.2,1825.11,1849.86,3752800
40,98,-0.00757895192068588,0,amazon,0.16674742829005093,0.14640407469006783,0.0636042355516693,959,159.91078373015884,1845.49,1853.09,1831.78,1835.84,3714400
41,99,0.006258715356458084,0,amazon,0.16612003529444605,0.1522042640615635,0.11918671164835294,1103,183.230398929774,1841.0,1848.0,1828.81,1847.33,2964000
42,100,-0.0017647090665988162,0,amazon,0.15909842033534294,0.15780484000572845,0.17456005674650163,1386,220.51041058478532,1848.7,1849.95,1840.31,1844.07,2654800
43,101,-0.0005477015514595383,0,amazon,0.18376122538334605,0.1558211948118313,0.16398862797327998,2605,478.6979921236165,1848.4,1851.5,1841.3,1843.06,3114400
44,104,0.0,0,amazon,0.1860048771744018,0.12379140227974199,0.06125374179444868,1210,225.0659013810262,1842.0,1846.85,1818.9,1844.87,3724400
45,105,0.009848932445104572,0,amazon,0.13162732577140257,0.12310456949679827,0.062001625724800606,1435,188.8852124819627,1851.35,1869.77,1848.0,1863.04,3044600
46,106,0.0009554276880796831,0,amazon,0.1348450408540975,0.11808741199413421,0.10587740098193481,1118,150.756755674881,1872.99,1876.47,1860.44,1864.82,2893500
47,107,-0.0016784461771108643,0,amazon,0.16647799421449702,0.11361955564551297,0.1508257479333006,1028,171.13937805250293,1868.79,1870.82,1859.48,1861.69,2749900
48,111,0.0,0,amazon,0.15930735137877988,0.08842217685919984,0.0,910,144.96968975468968,1855.4,1888.42,1845.64,1887.31,3373800
49,112,0.019318500935193498,1,amazon,0.18102688144997836,0.08460824460268242,0.053102450459593296,972,175.95812876937896,1891.2,1929.26,1889.58,1923.77,4640400
50,113,-0.011446274762575558,-1,amazon,0.16164657850443961,0.0916653239853361,0.11344474427625274,1094,176.84135688385695,1925.0,1929.69,1898.16,1901.75,3675800
51,114,0.0002629157355067701,0,amazon,0.11050199095126777,0.09549411507824213,0.16732693711106594,1348,148.95668380230896,1917.0,1922.45,1900.31,1902.25,6099100
52,115,0.02543303982126435,1,amazon,0.12491080963437898,0.08749754318349509,0.15105848363522859,1031,128.78304473304473,1929.0,1951.0,1898.0,1950.63,8432600
53,118,0.0,0,amazon,0.18328580377641118,0.10534194455983495,0.041636936544792995,1251,229.29054052429038,1949.0,1956.34,1934.09,1938.43,4021300
54,119,-0.006144147583353581,0,amazon,0.2230107353189745,0.10876743775949657,0.061095267925470396,1144,255.12428120490682,1930.1,1935.71,1906.95,1926.52,3506000
55,120,-0.007786059838465212,0,amazon,0.17973285245257034,0.11476513116935315,0.13543217969846189,904,162.4784986171236,1933.09,1943.64,1910.55,1911.52,3117000
56,121,-0.005597639574788674,0,amazon,0.12832930249974558,0.11734888459051467,0.1953431305159853,993,127.43099738224736,1913.33,1921.55,1881.87,1900.82,3962900
57,122,0.0324281099735904,1,amazon,0.148662586799327,0.11989564338315437,0.17702429675709683,905,134.53964105339094,1949.0,1964.4,1936.0,1962.46,6381600
58,125,0.0,0,amazon,0.15829960568995666,0.12328875440671837,0.04955419559977567,741,117.30000781625789,1917.98,1959.0,1910.5,1950.55,5417800
59,126,-0.015149573197303302,-1,amazon,0.13933382278131123,0.11971929753722488,0.052766535229985555,876,122.05642875642864,1939.99,1949.1,1903.38,1921.0,5902100
60,127,-0.0016814159292035493,0,amazon,0.1523757529776049,0.10776545288898727,0.09921114282375597,999,152.22337722462728,1918.87,1935.37,1910.0,1917.77,4078600
61,128,-0.009333757437023256,0,amazon,0.12527389425049054,0.10385729582113505,0.15000306048295758,924,115.75307828745325,1900.0,1909.4,1876.0,1899.87,5308300
62,129,-0.0052056193318489544,0,amazon,0.1675710696241262,0.10342080892838433,0.13899449000313555,867,145.28411736411744,1898.0,1903.79,1856.0,1889.98,5718000
63,132,0.0,0,amazon,0.22836089364385403,0.10612202076049851,0.05585702320804207,1206,275.40323773448796,1836.56,1846.54,1818.0,1822.68,5783400
64,133,0.00956832795663519,0,amazon,0.18698575441610638,0.11613077618248384,0.07612029788128467,1023,191.28642676767683,1839.5,1852.44,1815.75,1840.12,4629100
65,134,0.01686303067191281,1,amazon,0.16749969076572752,0.12293819498745458,0.13844888268665348,873,146.22723003848012,1827.95,1874.43,1823.0,1871.15,4692600
66,135,0.019463966010207542,1,amazon,0.10294137520675384,0.12509875752861493,0.19428211294189598,1268,130.52966376216386,1885.94,1917.51,1882.29,1907.57,4707800
67,136,-0.020219441488385715,-1,amazon,0.1373829738473769,0.12190839766522399,0.1524756067961959,913,125.43065512265512,1893.05,1910.53,1867.33,1869.0,4736600
68,139,0.0,0,amazon,0.1604569544229834,0.11759581255425981,0.0457943246157923,758,121.62637145262143,1852.69,1867.78,1835.54,1858.97,3798200
