,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
28,-4,-0.009812667261373934,0,facebook,0.05566210095339636,0.02620899701370519,0.03678051394826667,1459,81.21100529100529,{'$numberInt': '0'},{'$numberInt': '0'},135.34,135.92,132.2,133.2,22627600
29,-1,0.0,0,facebook,0.07836920952714763,0.03416072572133324,0.01855403365113212,1685,132.05211805324376,{'$numberInt': '0'},{'$numberInt': '0'},134.45,134.64,129.95,131.09,24625300
30,1,0.0,0,facebook,0.09182354823242446,0.034910407475049136,0.02612306984238254,1428,131.12402687590213,{'$numberInt': '0'},{'$numberInt': '0'},128.99,137.51,128.56,135.68,28146200
31,2,-0.029038915094339604,-1,facebook,0.08853036795311808,0.034748924861269896,0.0567309192531907,589,52.14438672438655,{'$numberInt': '0'},{'$numberInt': '0'},134.69,137.17,131.12,131.74,22717900
32,8,0.0,0,facebook,0.04308282667438729,0.02576484516936322,0.0,785,33.82001893939402,{'$numberInt': '0'},{'$numberInt': '0'},142.95,144.7,141.27,144.23,22205900
33,9,-0.0002080011093392577,0,facebook,0.06448339759505799,0.01880188494678648,0.014360942224795762,1593,102.72205236892738,{'$numberInt': '0'},{'$numberInt': '0'},143.08,144.56,140.84,144.2,16125000
34,13,0.0,0,facebook,0.043596681096681106,0.015366603467063611,0.0,76,3.313347763347764,{'$numberInt': '0'},{'$numberInt': '0'},142.0,146.57,141.27,145.39,20520300
35,14,0.024485865602861288,1,facebook,0.07532732374383487,0.02159470076658948,0.014532227032227035,1072,80.75089105339099,{'$numberInt': '0'},{'$numberInt': '0'},146.01,150.68,145.99,148.95,24069000
36,15,-0.009466263846928478,0,facebook,0.09211910914807883,0.03235574701570875,0.039641334946838656,1713,157.80003397065903,{'$numberInt': '0'},{'$numberInt': '0'},149.0,149.65,147.0,147.54,18025700
37,16,0.005151145452080923,0,facebook,0.05074793764088752,0.03936093022623611,0.07034770466286493,2507,127.225079665705,{'$numberInt': '0'},{'$numberInt': '0'},146.95,149.0,146.5,148.3,15787900
38,17,0.011732973701955364,1,facebook,0.11352148758201708,0.03739872166135462,0.07273145684426707,1904,216.14491235616052,{'$numberInt': '0'},{'$numberInt': '0'},149.75,152.43,148.55,150.04,31029600
39,21,0.0,0,facebook,0.07558881494880036,0.047387979730688326,0.0,1357,102.57402188552209,{'$numberInt': '0'},{'$numberInt': '0'},149.2,151.53,146.37,147.57,22378700
40,22,-0.022158975401504247,-1,facebook,0.08385795448338458,0.04742533561711198,0.02519627164960012,1453,121.8456078643578,{'$numberInt': '0'},{'$numberInt': '0'},148.28,148.8,143.06,144.3,20098400
41,23,0.01060291060291061,1,facebook,0.10216782492795365,0.04624517066501279,0.053148923144061645,1629,166.4313868076365,{'$numberInt': '0'},{'$numberInt': '0'},144.64,146.44,142.52,145.83,20955500
42,24,0.0218062127134333,1,facebook,0.08418929603377492,0.05359086884887938,0.08720486478671287,2228,187.57375156325054,{'$numberInt': '0'},{'$numberInt': '0'},147.48,149.83,146.54,149.01,22237200
43,27,0.0,0,facebook,0.08290218876041389,0.049400555770559074,0.028063098677924975,1155,95.75202801827804,{'$numberInt': '0'},{'$numberInt': '0'},148.05,148.96,146.21,147.47,15508500
44,28,-0.02224181189394454,-1,facebook,0.04148589620734847,0.061243725593475344,0.027634062920137963,902,37.420278379028325,{'$numberInt': '0'},{'$numberInt': '0'},148.09,148.1,143.43,144.19,17632100
45,29,0.04320687981135994,1,facebook,0.06715529993252455,0.056371880058982214,0.04146269498925412,2135,143.3765653559399,{'$numberInt': '0'},{'$numberInt': '0'},146.22,150.95,145.7,150.42,44613200
46,30,0.10816380800425483,2,facebook,0.08556950860273839,0.0539857865517165,0.06384779496676231,805,68.8834544252044,{'$numberInt': '0'},{'$numberInt': '0'},165.6,171.68,165.0,166.69,77233600
47,31,-0.005879176915231806,0,facebook,0.07419763994717862,0.05161459850525717,0.06473690158087046,542,40.21512085137081,{'$numberInt': '0'},{'$numberInt': '0'},165.84,169.1,165.66,165.71,30806500
48,34,0.0,0,facebook,0.09110957570131646,0.05018721906431485,0.02473254664905954,1462,133.20219967532466,{'$numberInt': '0'},{'$numberInt': '0'},165.7,169.3,163.62,169.25,20036000
49,35,0.011285081240768075,1,facebook,0.09859356475073562,0.05135970291301522,0.030369858567105487,1764,173.91904822029764,{'$numberInt': '0'},{'$numberInt': '0'},169.15,171.98,168.69,171.16,22557000
50,36,-0.003914465996728135,0,facebook,0.06473649664819098,0.059517941276356234,0.06323438015068403,1567,101.44209024771526,{'$numberInt': '0'},{'$numberInt': '0'},171.2,172.47,169.27,170.49,13281200
51,37,-0.02410698574696471,-1,facebook,0.043606735736747684,0.05917239795002286,0.08481321236674767,2120,92.44627976190509,{'$numberInt': '0'},{'$numberInt': '0'},168.2,169.24,165.25,166.38,17517600
